PSP_CODE,CF,BIC,ABI
ABI08382,00167340041,CCRTIT2TBEN,08382
SELBIT2B,02224410023,SELBIT2B,TBD
ABI08200,00105000228,TBD,08200
CCRTIT2T54A,00105000228,CCRTIT2T54A,TBD
ABI08826,00128830411,TBD,08826
ICRAITRRMY0,00128830411,ICRAITRRMY0,TBD
ABI08210,00106190226,CCRTIT2T57A,08210
CCRTIT2T57A,00106190226,CCRTIT2T57A,08210
SENVITT1,08301100015,SENVITT1,TBD
ICRAITRRF20,01445030396,ICRAITRRF20,TBD
RZSBIT21052,00171380215,RZSBIT21052,TBD
RZSBIT21022,00159550219,RZSBIT21022,TBD
RZSBIT21006,00163220213,RZSBIT21006,TBD
RZSBIT21025,00169290210,RZSBIT21025,TBD
RZSBIT21054,00165630211,RZSBIT21054,TBD
RZSBIT21027,00161920210,RZSBIT21027,TBD
RZSBIT21031,00147330211,RZSBIT21031,TBD
RZSBIT21039,00137770210,RZSBIT21039,TBD
RZSBIT21032,00181040213,RZSBIT21032,TBD
RZSBIT21033,00143180214,RZSBIT21033,TBD
RZSBIT21055,00134590215,RZSBIT21055,TBD
RZSBIT21034,00171320211,RZSBIT21034,TBD
RZSBIT21036,00143170215,RZSBIT21036,TBD
RZSBIT21048,00142030212,RZSBIT21048,TBD
RZSBIT21042,00158030213,RZSBIT21042,TBD
RZSBIT21045,00146490214,RZSBIT21045,TBD
RZSBIT21044,00129600219,RZSBIT21044,TBD
RZSBIT21040,00193730215,RZSBIT21040,TBD
RZSBIT21050,00181320219,RZSBIT21050,TBD
RZSBIT21023,00138880216,RZSBIT21023,TBD
RZSBIT21007,00181170218,RZSBIT21007,TBD
RZSBIT21026,00202890216,RZSBIT21026,TBD
ICRAITRRAL0,01041710581,ICRAITRRAL0,TBD
CCRTIT2TMPR,00269570651,CCRTIT2TMPR,08784
ICRAITRRQW0,00086890696,ICRAITRRQW0,TBD
CCRTIT2T43A,01258070224,CCRTIT2T43A,TBD
CCRTIT2TVEL,00036100576,CCRTIT2TVEL,TBD
ICRAITRRK80,00311340285,ICRAITRRK80,TBD
POCAIT3C,00121930606,POCAIT3C,TBD
RUAMIT22XXX,00251640306,RUAMIT22XXX,TBD
CCRTIT2TMAL,03310710409,CCRTIT2TMAL,TBD
